date,open,close,high,low,volume
2001-07-02,7.518,6.744,7.585,6.68,268884.87
2001-07-03,6.854,7.147,7.369,6.831,111101.41
2001-07-04,7.13,7.197,7.363,7.087,48377.87
2001-07-05,7.184,7.223,7.3,7.068,27224.79
2001-07-06,7.218,7.171,7.343,7.121,20067.97
2001-07-09,7.18,7.014,7.24,6.962,22070.4
2001-07-10,7.016,7.003,7.059,6.919,13072.15
2001-07-11,7.057,6.992,7.087,6.964,7846.93
2001-07-12,6.981,6.932,6.981,6.854,11178.9
2001-07-13,6.932,6.783,6.992,6.762,14371.31
2001-07-16,6.787,6.591,6.869,6.55,20444.38
2001-07-17,6.572,6.507,6.656,6.443,17377.83
2001-07-18,6.55,6.624,6.74,6.55,10147.01
2001-07-19,6.615,6.594,6.654,6.507,5724.3
2001-07-20,6.604,6.68,6.723,6.6,9201.4
2001-07-23,6.684,6.55,6.719,6.499,14202.26
2001-07-24,6.486,6.494,6.518,6.445,13342.93
2001-07-25,6.494,6.54,6.594,6.481,3725.54
2001-07-26,6.529,6.313,6.54,6.266,10333.33
2001-07-27,6.309,6.163,6.438,6.163,6917.66
2001-07-30,6.119,5.667,6.124,5.667,12717.17
2001-07-31,5.663,5.792,5.913,5.605,11929.53
2001-08-01,5.818,5.977,6.007,5.818,9842.2
2001-08-02,5.936,5.857,5.943,5.654,8258.42
2001-08-03,5.82,5.85,5.857,5.775,2021.8
2001-08-06,5.835,5.689,5.861,5.663,10365.97
2001-08-07,5.71,5.82,5.926,5.667,6963.55
2001-08-08,5.82,5.811,5.902,5.749,4163.84
2001-08-09,5.792,5.898,5.904,5.792,4037.42
2001-08-10,5.904,5.969,6.014,5.904,5033.56
2001-08-13,5.928,6.012,6.029,5.859,13686.56
2001-08-14,5.818,5.807,5.904,5.723,5816.91
2001-08-15,5.818,5.818,5.859,5.775,2828.6
2001-08-16,5.839,5.753,5.844,5.71,4026.29
2001-08-17,5.732,5.736,5.775,5.71,2141.25
2001-08-20,5.712,5.732,5.818,5.667,1886.98
2001-08-21,5.753,5.742,5.814,5.712,2182.7
2001-08-22,5.712,5.641,5.712,5.613,5346.51
2001-08-23,5.602,5.488,5.605,5.383,12905.09
2001-08-24,5.495,5.411,5.576,5.398,3493.72
2001-08-27,5.389,5.219,5.389,5.214,7234.71
2001-08-28,5.174,5.253,5.292,5.064,5293.84
2001-08-29,5.253,5.262,5.322,5.193,4135.87
2001-08-30,5.262,5.214,5.294,5.204,1548.48
2001-08-31,5.232,5.199,5.277,5.193,1395.09
2001-09-03,5.171,5.087,5.174,5.085,2717.18
2001-09-04,5.064,5.288,5.292,5.064,3124.56
2001-09-05,5.318,5.335,5.469,5.303,5411.38
2001-09-06,5.303,5.344,5.426,5.301,5372.75
2001-09-07,5.344,5.139,5.344,5.128,4093.0
2001-09-10,5.064,5.268,5.311,4.965,2985.72
2001-09-11,5.279,5.316,5.376,5.225,2711.49
2001-09-12,5.171,5.247,5.275,5.066,4928.64
2001-09-13,5.214,5.292,5.344,5.184,2924.95
2001-09-14,5.268,5.204,5.327,5.174,2067.67
2001-09-17,5.169,5.107,5.193,5.092,3019.82
2001-09-18,5.135,5.171,5.253,5.105,1296.27
2001-09-19,5.193,5.296,5.318,5.107,2034.78
2001-09-20,5.339,5.24,5.339,5.236,1846.13
2001-09-21,5.232,5.176,5.258,5.13,1098.76
2001-09-24,5.158,5.154,5.191,5.133,813.81
2001-09-25,5.193,5.165,5.258,5.156,749.49
2001-09-26,5.171,5.107,5.176,5.068,2264.98
2001-09-27,5.081,5.169,5.253,5.081,2106.39
2001-09-28,5.195,5.154,5.24,5.083,3207.69
2001-10-09,4.967,5.085,5.146,4.93,3241.48
2001-10-10,5.059,4.764,5.064,4.762,5095.8
2001-10-11,4.74,4.46,4.837,4.45,5878.9
2001-10-12,4.46,4.59,4.676,4.32,6005.34
2001-10-15,4.579,4.51,4.6,4.465,2709.12
2001-10-16,4.51,4.359,4.525,4.335,2201.71
2001-10-17,4.348,4.262,4.374,4.253,2996.83
2001-10-18,4.245,4.26,4.353,4.223,1826.9
2001-10-19,4.219,3.997,4.219,3.969,6089.47
2001-10-22,3.9,3.833,4.023,3.81,3912.88
2001-10-23,4.217,4.217,4.217,4.18,8699.57
2001-10-24,4.639,4.579,4.639,4.441,28949.09
2001-10-25,4.525,4.45,4.579,4.439,6950.25
2001-10-26,4.417,4.454,4.482,4.288,7813.76
2001-10-29,4.372,4.454,4.495,4.372,1813.27
2001-10-30,4.439,4.342,4.445,4.331,1536.5
2001-10-31,4.32,4.344,4.346,4.219,3828.25
2001-11-01,4.344,4.353,4.387,4.294,2306.4
2001-11-02,4.331,4.29,4.353,4.266,2260.8
2001-11-05,4.266,4.215,4.292,4.18,2932.8
2001-11-06,4.241,4.241,4.288,4.202,778.9
2001-11-07,4.223,3.976,4.26,3.976,3512.67
2001-11-08,3.924,3.984,4.006,3.857,2833.76
2001-11-09,3.982,4.029,4.062,3.917,1282.64
2001-11-12,4.051,4.036,4.072,4.008,1219.68
2001-11-13,3.943,3.956,3.991,3.937,1243.29
2001-11-14,4.027,3.963,4.027,3.96,526.0
2001-11-15,3.986,4.021,4.029,3.965,1129.9
2001-11-16,4.417,4.105,4.424,4.094,6053.91
2001-11-19,4.105,4.202,4.202,4.105,2341.72
2001-11-20,4.219,4.428,4.499,4.18,14248.64
2001-11-21,4.428,4.48,4.564,4.419,10329.92
2001-11-22,4.484,4.482,4.521,4.428,4551.42
2001-11-23,4.439,4.45,4.482,4.406,2344.23
2001-11-26,4.447,4.387,4.447,4.357,1705.64
2001-11-27,4.363,4.45,4.45,4.361,1565.65
2001-11-28,4.465,4.512,4.525,4.434,4767.85
2001-11-29,4.482,4.458,4.521,4.441,2519.95
2001-11-30,4.458,4.521,4.525,4.428,2898.6
2001-12-03,4.521,4.585,4.626,4.48,5193.73
2001-12-04,4.592,4.609,4.626,4.538,3092.88
2001-12-05,4.594,4.486,4.622,4.482,5457.45
2001-12-06,4.46,4.46,4.521,4.415,3748.79
2001-12-07,4.486,4.456,4.514,4.434,4483.77
2001-12-10,4.454,4.456,4.48,4.406,2158.27
2001-12-11,4.419,4.385,4.443,4.374,1450.1
2001-12-12,4.381,4.338,4.413,4.331,2839.5
2001-12-13,4.331,4.266,4.361,4.266,2692.78
2001-12-14,4.241,4.202,4.26,4.169,2242.5
2001-12-17,4.223,4.225,4.277,4.202,1424.67
2001-12-18,4.241,4.299,4.331,4.223,1637.46
2001-12-19,4.31,4.305,4.385,4.288,5347.9
2001-12-20,4.286,4.273,4.363,4.223,10987.79
2001-12-21,4.277,4.307,4.363,4.249,1979.4
2001-12-24,4.307,4.191,4.342,4.18,1985.69
2001-12-25,4.176,4.159,4.264,4.12,1747.15
2001-12-26,4.139,4.18,4.23,4.137,2222.75
2001-12-27,4.191,4.159,4.284,4.159,3183.02
2001-12-28,4.163,4.202,4.243,4.148,5483.05
2001-12-31,4.23,4.245,4.31,4.223,3826.87
2002-01-04,4.245,4.09,4.245,4.072,3345.0
2002-01-07,4.083,4.062,4.083,4.008,2007.68
2002-01-08,4.047,4.051,4.129,4.029,728.93
2002-01-09,4.051,3.984,4.051,3.965,1757.23
2002-01-10,3.922,4.057,4.068,3.879,6295.99
2002-01-11,4.081,3.963,4.081,3.96,1751.0
2002-01-14,3.9,3.857,3.93,3.814,3453.98
2002-01-15,3.857,3.749,3.879,3.739,3336.0
2002-01-16,3.7,3.747,3.792,3.512,3583.4
2002-01-17,3.717,3.534,3.717,3.521,3405.41
2002-01-18,3.491,3.536,3.62,3.417,5542.65
2002-01-21,3.523,3.471,3.536,3.458,4387.3
2002-01-22,3.458,3.525,3.659,3.458,3225.66
2002-01-23,3.508,3.723,3.726,3.501,2948.76
2002-01-24,3.663,3.728,3.769,3.622,4767.48
2002-01-25,3.624,3.687,3.788,3.624,2208.91
2002-01-28,3.663,3.476,3.695,3.458,3489.4
2002-01-29,3.424,3.519,3.555,3.424,2685.28
2002-01-30,3.519,3.508,3.594,3.482,1136.25
2002-01-31,3.551,3.797,3.835,3.551,7760.28
2002-02-01,3.771,3.807,3.866,3.749,5284.03
2002-02-04,3.825,3.855,3.87,3.739,3171.43
2002-02-05,3.814,3.82,3.861,3.792,2194.99
2002-02-06,3.825,3.732,3.846,3.73,3066.0
2002-02-07,3.732,3.851,3.889,3.719,3121.49
2002-02-08,3.857,3.844,3.917,3.838,3608.9
2002-02-25,3.943,3.863,3.948,3.842,2993.99
2002-02-26,3.853,3.835,3.857,3.773,1480.25
2002-02-27,3.84,3.812,3.84,3.773,1752.0
2002-02-28,3.771,3.797,3.857,3.771,1056.71
2002-03-01,3.797,3.76,3.797,3.754,1402.0
2002-03-04,3.773,3.831,3.846,3.73,1440.51
2002-03-05,3.805,3.917,3.943,3.805,4523.44
2002-03-06,3.917,3.911,3.982,3.891,4522.75
2002-03-07,3.922,4.006,4.008,3.909,5078.46
2002-03-08,4.025,4.113,4.159,4.025,10755.81
2002-03-11,4.148,4.144,4.169,4.092,6637.18
2002-03-12,4.137,4.029,4.137,4.012,6614.49
2002-03-13,4.029,3.96,4.051,3.943,4406.45
2002-03-14,3.96,4.066,4.094,3.956,4619.33
2002-03-15,4.068,3.973,4.124,3.971,4726.1
2002-03-18,4.042,3.986,4.116,3.96,3262.33
2002-03-19,3.965,4.193,4.202,3.963,9368.07
2002-03-20,4.202,4.225,4.256,4.157,11162.46
2002-03-21,4.225,4.163,4.243,4.133,4056.89
2002-03-22,4.137,4.09,4.15,4.075,3211.2
2002-03-25,4.094,4.189,4.262,4.094,6502.59
2002-03-26,4.094,4.051,4.094,4.032,4973.29
2002-03-27,4.029,4.051,4.064,3.988,2811.7
2002-03-28,4.047,3.986,4.081,3.965,3169.9
2002-03-29,3.965,3.816,3.986,3.803,4357.5
2002-04-01,3.816,3.853,3.881,3.792,1768.86
2002-04-02,3.846,3.775,3.87,3.767,2160.19
2002-04-03,3.775,3.792,3.838,3.775,1284.0
2002-04-04,3.792,3.879,3.913,3.771,1797.25
2002-04-05,3.96,3.879,3.96,3.879,1564.41
2002-04-08,3.879,3.848,3.881,3.814,864.7
2002-04-09,3.848,3.917,3.943,3.825,2423.6
2002-04-10,3.909,4.019,4.116,3.907,3893.21
2002-04-11,4.008,3.924,4.034,3.922,1772.0
2002-04-12,3.9,3.935,4.008,3.9,1281.51
2002-04-15,3.943,3.898,3.943,3.879,1168.0
2002-04-16,3.896,3.891,3.939,3.883,810.57
2002-04-17,3.896,3.889,3.926,3.857,974.6
2002-04-18,3.889,3.846,3.889,3.835,1628.09
2002-04-19,3.835,3.846,3.853,3.801,2536.64
2002-04-22,3.771,3.814,3.853,3.771,577.5
2002-04-23,3.814,3.805,3.825,3.795,627.0
2002-04-24,3.825,3.773,3.825,3.771,834.74
2002-04-25,3.771,3.788,3.814,3.771,1007.5
2002-04-26,3.876,3.857,3.879,3.795,877.29
