date,open,close,high,low,volume
2005-01-04,4.085,4.008,4.106,3.859,2631.0
2005-01-05,3.979,4.029,4.029,3.979,2078.03
2005-01-06,4.032,4.053,4.072,4.011,2228.66
2005-01-07,4.093,4.202,4.271,4.053,1368.71
2005-01-10,4.241,4.247,4.268,4.202,2504.9
2005-01-11,4.257,4.263,4.271,4.212,1435.79
2005-01-12,4.008,4.244,4.271,4.008,1163.14
2005-01-13,4.31,4.276,4.398,4.257,964.0
2005-01-14,4.448,4.334,4.448,4.271,1037.0
2005-01-17,4.244,4.284,4.324,4.244,1431.8
2005-01-18,4.284,4.408,4.43,4.284,1180.77
2005-01-19,4.313,4.363,4.393,4.313,508.6
2005-01-20,4.35,4.387,4.483,4.31,3187.95
2005-01-21,4.35,4.416,4.443,4.321,1013.11
2005-01-24,4.398,4.451,4.456,4.398,969.44
2005-01-25,4.416,4.456,4.469,4.353,439.0
2005-01-26,4.477,4.472,4.493,4.363,966.6
2005-01-27,4.411,4.44,4.454,4.371,2492.5
2005-01-28,4.382,4.416,4.424,4.31,1352.98
2005-01-31,4.321,4.459,4.501,4.318,1464.6
2005-02-01,4.454,4.446,4.461,4.39,585.9
2005-02-02,4.469,4.509,4.525,4.35,15517.24
2005-02-03,4.509,4.509,4.515,4.377,3415.0
2005-02-04,4.509,4.663,4.666,4.509,11299.37
2005-02-16,4.663,4.613,4.684,4.589,3157.74
2005-02-17,4.597,4.613,4.613,4.562,2235.6
2005-02-18,4.61,4.613,4.639,4.557,1426.24
2005-02-21,4.589,4.639,4.642,4.549,9319.47
2005-02-22,4.615,4.589,4.629,4.578,5074.3
2005-02-23,4.576,4.536,4.589,4.515,3143.58
2005-02-24,4.499,4.591,4.594,4.499,4514.55
2005-02-25,4.591,4.56,4.613,4.549,8688.69
2005-02-28,4.459,4.568,4.57,4.456,4727.83
2005-03-01,4.517,4.578,4.581,4.517,3234.5
2005-03-02,4.538,4.56,4.594,4.538,2797.9
2005-03-03,4.536,4.557,4.562,4.504,1217.43
2005-03-04,4.605,4.647,4.652,4.57,5815.83
2005-03-07,4.645,4.801,4.814,4.578,22412.04
2005-03-08,4.806,4.95,5.053,4.806,39165.34
2005-03-09,4.963,4.95,5.003,4.883,11994.41
2005-03-10,4.95,4.87,4.957,4.774,9169.2
2005-03-11,4.87,4.934,4.947,4.838,12068.37
2005-03-14,4.934,5.053,5.114,4.883,15807.2
2005-03-15,5.053,4.894,5.066,4.862,7845.91
2005-03-16,4.862,4.828,4.875,4.798,13011.2
2005-03-17,4.801,5.066,5.098,4.774,18633.64
2005-03-18,5.061,5.045,5.093,5.005,3951.24
2005-03-21,5.037,5.382,5.446,4.934,30520.63
2005-03-22,5.347,5.432,5.501,5.249,19232.2
2005-03-23,5.411,5.451,5.533,5.385,13012.24
2005-03-24,5.398,5.278,5.451,5.252,10708.9
2005-03-25,5.278,5.273,5.358,5.228,2053.64
2005-03-28,5.252,5.382,5.403,5.252,5544.21
2005-03-29,5.371,5.374,5.581,5.308,16632.8
2005-03-30,5.31,5.302,5.377,5.252,6261.82
2005-03-31,5.199,5.35,5.358,5.159,8433.35
2005-04-01,5.345,5.512,5.597,5.331,13813.62
2005-04-04,5.461,5.732,5.782,5.424,15314.35
2005-04-05,5.782,5.716,5.83,5.676,5439.14
